station_name	id	station_id	line_cd	pref_cd	pref	post	add	lon	lat	MESH_CODES	suumoEkiCode	comment	line_num	rent_oneRoom	rent_1K	rent_1LDK	rent_2LDK	rent_3LDK	park_area	water_depth	pachinko	sexShop	supermarket_num	landPrice	access	population	park	flood	security	supermarket	livable
東京	1261	1130101	11301	13	tokyo	100-0005	東京都千代田区丸の内一丁目	139.766103	35.681391	[5339460023, 5339460024, 5339460032, 5339460034, 5339460041, 5339460042, 5339460043, 5339460044, 5339460113, 5339460114, 5339460123, 5339460124, 5339460131, 5339460132, 5339460133, 5339460134, 5339460141, 5339460142, 5339460143, 5339460144, 5339460231, 5339460233, 5339460234, 5339461011, 5339461012, 5339461013, 5339461014, 5339461021, 5339461022, 5339461023, 5339461024, 5339461031, 5339461032, 5339461033, 5339461034, 5339461041, 5339461042, 5339461043, 5339461044, 5339461111, 5339461112, 5339461113, 5339461114, 5339461121, 5339461122, 5339461123, 5339461124, 5339461131, 5339461132, 5339461133, 5339461134, 5339461141, 5339461142, 5339461143, 5339461144, 5339461211, 5339461212, 5339461213, 5339461214, 5339461231, 5339461232, 5339461233, 5339461234, 5339462011, 5339462012, 5339462013, 5339462014, 5339462021, 5339462022, 5339462023, 5339462024, 5339462032, 5339462034, 5339462041, 5339462042, 5339462043, 5339462044, 5339462111, 5339462112, 5339462113, 5339462114, 5339462121, 5339462122, 5339462123, 5339462124, 5339462131, 5339462132, 5339462133, 5339462134, 5339462141, 5339462142, 5339462143, 5339462144, 5339462211, 5339462212, 5339462213, 5339462214, 5339462231, 5339462232, 5339462233, 5339463021, 5339463022, 5339463111, 5339463112, 5339463113, 5339463114, 5339463121, 5339463122]	25620	アクセスの良さ・景観・治安・商業施設ともに日本トップ。賃貸の家賃も想像ほど高くなく、意外と穴場な街。	14	10.3	10.9	13.1	不明	不明	209532	10.0	16	13	32	17.0599447	97.18309859154928	20.254328233472936	57.0149653	77.50338640000001	68.1140351	73.0296743	100.0
新橋	1262	1130102	11301	13	tokyo	105-0004	東京都港区新橋二丁目17	139.758587	35.666195	[5339358944, 5339359921, 5339359922, 5339359923, 5339359924, 5339359934, 5339359941, 5339359942, 5339359943, 5339359944, 5339368014, 5339368023, 5339368024, 5339368031, 5339368032, 5339368033, 5339368034, 5339368041, 5339368042, 5339368043, 5339368044, 5339368131, 5339368132, 5339368133, 5339368134, 5339368143, 5339369011, 5339369012, 5339369013, 5339369014, 5339369021, 5339369022, 5339369023, 5339369024, 5339369031, 5339369032, 5339369033, 5339369034, 5339369041, 5339369042, 5339369043, 5339369044, 5339369111, 5339369112, 5339369113, 5339369114, 5339369121, 5339369123, 5339369124, 5339369131, 5339369132, 5339369133, 5339369134, 5339369141, 5339369142, 5339369143, 5339369144, 5339450912, 5339450921, 5339450922, 5339450923, 5339450924, 5339450941, 5339450942, 5339450943, 5339450944, 5339451922, 5339460011, 5339460012, 5339460013, 5339460014, 5339460021, 5339460022, 5339460023, 5339460024, 5339460031, 5339460032, 5339460033, 5339460034, 5339460041, 5339460042, 5339460043, 5339460044, 5339460111, 5339460112, 5339460113, 5339460114, 5339460121, 5339460122, 5339460123, 5339460124, 5339460131, 5339460132, 5339460133, 5339460134, 5339460141, 5339460142, 5339460143, 5339461011, 5339461012, 5339461013, 5339461014, 5339461021, 5339461022, 5339461023, 5339461024, 5339461111, 5339461112, 5339461113]	20110		4	8.7	10.6	17.8	24.2	31	500225	3.0	11	20	37	17.780209590000002	70.42253521126761	21.958808948805316	70.870847	88.6863621	68.8596491	78.5281266	100.0
品川	1263	1130103	11301	13	tokyo	108-0074	東京都港区高輪三丁目26-27	139.738999	35.62876	[5339353844, 5339353933, 5339353934, 5339354812, 5339354814, 5339354821, 5339354822, 5339354823, 5339354824, 5339354831, 5339354832, 5339354833, 5339354834, 5339354841, 5339354842, 5339354843, 5339354844, 5339354911, 5339354912, 5339354913, 5339354914, 5339354921, 5339354922, 5339354923, 5339354924, 5339354931, 5339354932, 5339354933, 5339354934, 5339354941, 5339354942, 5339354943, 5339354944, 5339355722, 5339355724, 5339355742, 5339355744, 5339355811, 5339355812, 5339355813, 5339355814, 5339355821, 5339355822, 5339355823, 5339355824, 5339355831, 5339355832, 5339355833, 5339355834, 5339355841, 5339355842, 5339355843, 5339355844, 5339355911, 5339355912, 5339355913, 5339355914, 5339355921, 5339355922, 5339355923, 5339355924, 5339355931, 5339355932, 5339355933, 5339355934, 5339355941, 5339355942, 5339355943, 5339355944, 5339356811, 5339356812, 5339356813, 5339356814, 5339356821, 5339356822, 5339356823, 5339356824, 5339356832, 5339356841, 5339356842, 5339356843, 5339356844, 5339356911, 5339356912, 5339356913, 5339356914, 5339356921, 5339356922, 5339356923, 5339356924, 5339356931, 5339356932, 5339356933, 5339356934, 5339356941, 5339356942, 5339356943, 5339364031, 5339364033, 5339365011, 5339365012, 5339365013, 5339365014, 5339365031, 5339365032, 5339365033, 5339365034, 5339366011, 5339366013]	17460	アクセスの良さは東京(駅)に並びトップクラス。治安もよく、買い物にも困らない。駅前は居酒屋やパチンコ店があるため、こういった店が自分の街にあるのが苦手な人もいる。	1	7.7	9.2	14.9	19.9	25.1	103770	0.0	9	14	17	31.287526120000003	59.154929577464785	61.851403173879596	47.829322499999996	100.0	76.4912281	53.22906470000001	100.0
川崎	1264	1130104	11301	14	kanagawa	210-0007	川崎市川崎区駅前本町	139.697485	35.531311	[5339252442, 5339252444, 5339252513, 5339252514, 5339252523, 5339252524, 5339252531, 5339252532, 5339252533, 5339252534, 5339252541, 5339252542, 5339252543, 5339252544, 5339252613, 5339252614, 5339252631, 5339252632, 5339252633, 5339252634, 5339252641, 5339252643, 5339252644, 5339253421, 5339253422, 5339253423, 5339253424, 5339253441, 5339253442, 5339253443, 5339253444, 5339253511, 5339253512, 5339253513, 5339253514, 5339253521, 5339253522, 5339253523, 5339253524, 5339253531, 5339253532, 5339253533, 5339253534, 5339253541, 5339253542, 5339253543, 5339253544, 5339253611, 5339253612, 5339253613, 5339253614, 5339253621, 5339253622, 5339253623, 5339253624, 5339253631, 5339253632, 5339253633, 5339253634, 5339253641, 5339253642, 5339253643, 5339253644, 5339254421, 5339254422, 5339254423, 5339254424, 5339254442, 5339254444, 5339254511, 5339254512, 5339254513, 5339254514, 5339254521, 5339254522, 5339254523, 5339254524, 5339254531, 5339254532, 5339254533, 5339254534, 5339254541, 5339254542, 5339254543, 5339254544, 5339254611, 5339254612, 5339254613, 5339254614, 5339254621, 5339254622, 5339254623, 5339254624, 5339254631, 5339254632, 5339254633, 5339254634, 5339254641, 5339254642, 5339254643, 5339255511, 5339255512, 5339255521, 5339255522, 5339255524, 5339255611, 5339255612]	09920	駅の西側・東側で街の雰囲気が180度変わる、東西格差が顕著な街。東側は家賃は高いアクセス・買い物のしやすさの割に家賃が安く、コスパが◎。ただし、引っ越してみたらヤクザの事務所の隣だった、なんてこともあるので、引越すさいには仲介業者にご近所事情をよく聞いておくこと。	3	6.7	7.4	10.2	12.4	14.4	568969	10.0	27	59	45	51.85045163	54.92957746478875	78.53844867662924	73.18944040000001	71.35768790000002	15.3070175	86.60254040000001	100.0
横浜	1265	1130105	11301	14	kanagawa	220-0011	横浜市西区高島２丁目	139.622704	35.466195	[5339144844, 5339144923, 5339144924, 5339144931, 5339144932, 5339144933, 5339144934, 5339144941, 5339144942, 5339144943, 5339144944, 5339145822, 5339145823, 5339145824, 5339145841, 5339145842, 5339145843, 5339145844, 5339145911, 5339145912, 5339145913, 5339145914, 5339145921, 5339145922, 5339145923, 5339145924, 5339145931, 5339145932, 5339145933, 5339145934, 5339145941, 5339145942, 5339145943, 5339145944, 5339146821, 5339146822, 5339146823, 5339146824, 5339146841, 5339146842, 5339146844, 5339146911, 5339146912, 5339146913, 5339146914, 5339146921, 5339146922, 5339146923, 5339146924, 5339146931, 5339146932, 5339146933, 5339146934, 5339146941, 5339146942, 5339146943, 5339146944, 5339147911, 5339147912, 5339147914, 5339147921, 5339147922, 5339147923, 5339147924, 5339154013, 5339154031, 5339154032, 5339154033, 5339154034, 5339154043, 5339155011, 5339155012, 5339155013, 5339155014, 5339155021, 5339155022, 5339155023, 5339155024, 5339155031, 5339155032, 5339155033, 5339155034, 5339155041, 5339155042, 5339155043, 5339155044, 5339155133, 5339156011, 5339156012, 5339156013, 5339156014, 5339156021, 5339156022, 5339156023, 5339156024, 5339156031, 5339156032, 5339156033, 5339156034, 5339156041, 5339156042, 5339156043, 5339156044, 5339156111, 5339157011, 5339157012, 5339157013, 5339157014, 5339157021]	40940	2020年『SUUMO 住みたい街ランキング1位』。ただし、横浜というイメージの半分以上は『みなとみらい』によるもの。横浜駅の付近はイメージに反して治安が悪い。	11	6.3	7.2	10.9	13.7	16.4	249047	3.0	14	7	43	50.54816174	73.23943661971832	62.98092002130993	59.531469599999994	84.04120840000002	75.745614	84.65616729999999	100.0
戸塚	1266	1130106	11301	14	kanagawa	244-0003	横浜市戸塚区戸塚町	139.534282	35.400432	[5339046144, 5339046231, 5339046232, 5339046233, 5339046234, 5339046241, 5339046242, 5339046243, 5339046244, 5339046331, 5339046333, 5339046334, 5339046343, 5339047122, 5339047123, 5339047124, 5339047141, 5339047142, 5339047143, 5339047144, 5339047211, 5339047212, 5339047213, 5339047214, 5339047221, 5339047222, 5339047223, 5339047224, 5339047231, 5339047232, 5339047233, 5339047234, 5339047241, 5339047242, 5339047243, 5339047244, 5339047311, 5339047312, 5339047313, 5339047314, 5339047321, 5339047323, 5339047324, 5339047331, 5339047332, 5339047333, 5339047334, 5339047341, 5339047342, 5339047343, 5339047344, 5339048121, 5339048122, 5339048123, 5339048124, 5339048141, 5339048142, 5339048143, 5339048144, 5339048211, 5339048212, 5339048213, 5339048214, 5339048221, 5339048222, 5339048223, 5339048224, 5339048231, 5339048232, 5339048233, 5339048234, 5339048241, 5339048242, 5339048243, 5339048244, 5339048311, 5339048312, 5339048313, 5339048314, 5339048321, 5339048322, 5339048323, 5339048324, 5339048331, 5339048332, 5339048333, 5339048334, 5339048341, 5339048342, 5339048343, 5339048344, 5339049122, 5339049211, 5339049212, 5339049213, 5339049214, 5339049221, 5339049222, 5339049223, 5339049224, 5339049241, 5339049242, 5339049311, 5339049312, 5339049313, 5339049314, 5339049321]	26210	自然が豊かで買い物もしやすいので、住環境は◎。都心へのアクセスもしやすいですが、通勤時間帯は座れません。	5	5.6	6.1	8.3	9.9	11.4	101268	5.0	6	1	18	61.746104179999996	53.521126760563384	39.816063135701874	47.5383751	79.0686605	91.2719298	54.77225579999999	100.0
大船	1267	1130107	11301	14	kanagawa	247-0056	鎌倉市大船１丁目	139.531127	35.353466	[5339040233, 5339040234, 5339040243, 5339040244, 5339041122, 5339041123, 5339041124, 5339041132, 5339041134, 5339041141, 5339041142, 5339041143, 5339041144, 5339041211, 5339041212, 5339041213, 5339041214, 5339041221, 5339041222, 5339041223, 5339041224, 5339041231, 5339041232, 5339041233, 5339041234, 5339041241, 5339041242, 5339041243, 5339041244, 5339041311, 5339041313, 5339041314, 5339041331, 5339041332, 5339041333, 5339041334, 5339041341, 5339041343, 5339042112, 5339042114, 5339042121, 5339042122, 5339042123, 5339042124, 5339042132, 5339042134, 5339042141, 5339042142, 5339042143, 5339042144, 5339042211, 5339042212, 5339042213, 5339042214, 5339042221, 5339042222, 5339042223, 5339042224, 5339042231, 5339042232, 5339042233, 5339042234, 5339042241, 5339042242, 5339042243, 5339042244, 5339042311, 5339042312, 5339042313, 5339042314, 5339042321, 5339042323, 5339042331, 5339042332, 5339042333, 5339042334, 5339042341, 5339042343, 5339043112, 5339043121, 5339043122, 5339043123, 5339043124, 5339043141, 5339043142, 5339043211, 5339043212, 5339043213, 5339043214, 5339043221, 5339043222, 5339043223, 5339043224, 5339043231, 5339043232, 5339043233, 5339043234, 5339043241, 5339043242, 5339043243, 5339043244, 5339043311, 5339043312, 5339043313, 5339043314, 5339043321, 5339043331]	06240	買い物がしやすく自然も豊か。ゆえに子育て世帯が多い。ただし駅周辺は道幅が狭くベビーカーが押しづらい。	7	5.8	6.2	8	9.3	10.6	74236	3.0	6	1	22	62.21208499000001	57.74647887323944	35.867688538134985	43.987564400000004	88.22485520000001	91.2719298	60.5530071	100.0
藤沢	1268	1130108	11301	14	kanagawa	251-0052	藤沢市藤沢	139.487293	35.338882	[5239739744, 5239739814, 5239739821, 5239739822, 5239739823, 5239739824, 5239739831, 5239739832, 5239739833, 5239739834, 5239739841, 5239739842, 5239739843, 5239739844, 5239739911, 5239739912, 5239739913, 5239739914, 5239739923, 5239739931, 5239739932, 5239739933, 5239739934, 5239739941, 5239739942, 5239739943, 5239739944, 5239749033, 5339030722, 5339030724, 5339030742, 5339030744, 5339030811, 5339030812, 5339030813, 5339030814, 5339030821, 5339030822, 5339030823, 5339030824, 5339030831, 5339030832, 5339030833, 5339030834, 5339030841, 5339030842, 5339030843, 5339030844, 5339030911, 5339030912, 5339030913, 5339030914, 5339030921, 5339030922, 5339030923, 5339030924, 5339030931, 5339030932, 5339030933, 5339030934, 5339030941, 5339030942, 5339030943, 5339030944, 5339031722, 5339031724, 5339031811, 5339031812, 5339031813, 5339031814, 5339031821, 5339031822, 5339031823, 5339031824, 5339031831, 5339031832, 5339031833, 5339031834, 5339031841, 5339031842, 5339031843, 5339031844, 5339031911, 5339031912, 5339031913, 5339031914, 5339031921, 5339031922, 5339031923, 5339031924, 5339031931, 5339031932, 5339031933, 5339031934, 5339031941, 5339031942, 5339031943, 5339032821, 5339032822, 5339032911, 5339032912, 5339040011, 5339040013, 5339040031, 5339040033, 5339041011, 5339041013]	33900	ほどよい人口密度で、商業施設が充実している。サーフィン、美術、音楽、芸術、運動といった仕事以外のライフを楽しむ人達が多い。	3	5.5	6	8.2	9.8	11.3	294714	5.0	6	11	36	62.36943198	45.07042253521127	40.781321947850905	62.090687200000005	81.399449	82.93859649999999	77.4596669	100.0
辻堂	1269	1130109	11301	14	kanagawa	251-0047	藤沢市辻堂	139.447106	35.336847	[5239738534, 5239738543, 5239738544, 5239738633, 5239739424, 5239739441, 5239739442, 5239739443, 5239739444, 5239739511, 5239739512, 5239739513, 5239739514, 5239739521, 5239739522, 5239739523, 5239739524, 5239739531, 5239739532, 5239739533, 5239739534, 5239739541, 5239739542, 5239739543, 5239739544, 5239739611, 5239739612, 5239739613, 5239739614, 5239739623, 5239739631, 5239739632, 5239739633, 5239739634, 5239739641, 5239739642, 5239739643, 5239739644, 5339030421, 5339030422, 5339030423, 5339030424, 5339030441, 5339030442, 5339030443, 5339030444, 5339030511, 5339030512, 5339030513, 5339030514, 5339030521, 5339030522, 5339030523, 5339030524, 5339030531, 5339030532, 5339030533, 5339030534, 5339030541, 5339030542, 5339030543, 5339030544, 5339030611, 5339030612, 5339030613, 5339030614, 5339030621, 5339030622, 5339030623, 5339030624, 5339030631, 5339030632, 5339030633, 5339030634, 5339030641, 5339030642, 5339030643, 5339030644, 5339031421, 5339031422, 5339031424, 5339031511, 5339031512, 5339031513, 5339031514, 5339031521, 5339031522, 5339031523, 5339031524, 5339031531, 5339031532, 5339031534, 5339031541, 5339031542, 5339031543, 5339031544, 5339031611, 5339031612, 5339031613, 5339031614, 5339031621, 5339031622, 5339031623, 5339031631, 5339031632, 5339031633, 5339031641]	24740	駅前のショッピングモールがあり、買い物・娯楽施設には困らない。海が近くにあるのでサーファーが多い。	1	5.2	5.7	7.5	8.9	10.2	41497	0.0	5	1	19	65.45125834000001	30.98591549295775	43.744697575056726	38.0347399	100.0	92.58771929999999	56.2731434	100.0
茅ケ崎	1270	1130110	11301	14	kanagawa	253-0043	神奈川県茅ヶ崎市元町1-1	139.407197	35.330741	[5239738124, 5239738141, 5239738142, 5239738143, 5239738144, 5239738212, 5239738213, 5239738214, 5239738221, 5239738222, 5239738223, 5239738224, 5239738231, 5239738232, 5239738233, 5239738234, 5239738241, 5239738242, 5239738243, 5239738244, 5239738313, 5239738331, 5239738332, 5239738333, 5239738334, 5239738343, 5239739112, 5239739114, 5239739121, 5239739122, 5239739123, 5239739124, 5239739132, 5239739134, 5239739141, 5239739142, 5239739143, 5239739144, 5239739211, 5239739212, 5239739213, 5239739214, 5239739221, 5239739222, 5239739223, 5239739224, 5239739231, 5239739232, 5239739233, 5239739234, 5239739241, 5239739242, 5239739243, 5239739244, 5239739311, 5239739312, 5239739313, 5239739314, 5239739321, 5239739323, 5239739331, 5239739332, 5239739333, 5239739334, 5239739341, 5239739342, 5239739343, 5239739344, 5339030112, 5339030121, 5339030122, 5339030123, 5339030124, 5339030141, 5339030142, 5339030144, 5339030211, 5339030212, 5339030213, 5339030214, 5339030221, 5339030222, 5339030223, 5339030224, 5339030231, 5339030232, 5339030233, 5339030234, 5339030241, 5339030242, 5339030243, 5339030244, 5339030311, 5339030312, 5339030313, 5339030314, 5339030321, 5339030323, 5339030331, 5339030332, 5339030333, 5339030334, 5339030341, 5339031211, 5339031212, 5339031221, 5339031222, 5339031311]	23840		2	5	5.4	5.4	8.7	10	119672	3.0	6	1	27	66.86184837	33.80281690140846	42.544078617186116	49.5649204	82.6853655	91.2719298	67.08203929999999	0.0
